sample_id,layer,spearman,overlap_at_k,n_img,k_overlap
chartqa_train_0015,24,0.5142408256440779,0.47017543859649125,1429,285
chartqa_train_0015,25,0.5848909227451068,0.4666666666666667,1429,285
chartqa_train_0015,26,0.6298031214262052,0.49473684210526314,1429,285
chartqa_train_0015,27,,0.24912280701754386,1429,285
chartqa_train_0017,0,0.5275678572803296,0.5017543859649123,1429,285
chartqa_train_0017,1,0.5614783803541923,0.47368421052631576,1429,285
chartqa_train_0017,2,0.7328046559632464,0.6035087719298246,1429,285
chartqa_train_0017,3,0.6689281380302771,0.5298245614035088,1429,285
chartqa_train_0017,4,0.7152666624719952,0.6526315789473685,1429,285
chartqa_train_0017,5,0.8142689615072676,0.7333333333333333,1429,285
chartqa_train_0017,6,0.6937552631152013,0.6982456140350877,1429,285
chartqa_train_0017,7,0.7199432664543635,0.6982456140350877,1429,285
chartqa_train_0017,8,0.7614834471003219,0.6912280701754386,1429,285
chartqa_train_0017,9,0.8116182590530953,0.7684210526315789,1429,285
chartqa_train_0017,10,0.6877380523497518,0.6631578947368421,1429,285
chartqa_train_0017,11,0.7857768212511641,0.7087719298245614,1429,285
chartqa_train_0017,12,0.7579947897193846,0.6842105263157895,1429,285
chartqa_train_0017,13,0.692567907144972,0.656140350877193,1429,285
chartqa_train_0017,14,0.6966693970595048,0.5719298245614035,1429,285
chartqa_train_0017,15,0.5521959633018424,0.5543859649122806,1429,285
chartqa_train_0017,16,0.7446527263175626,0.6421052631578947,1429,285
chartqa_train_0017,17,0.7505702650535726,0.631578947368421,1429,285
chartqa_train_0017,18,0.7834602993162124,0.6421052631578947,1429,285
chartqa_train_0017,19,0.7644211375235481,0.6701754385964912,1429,285
chartqa_train_0017,20,0.7384792780406526,0.6035087719298246,1429,285
chartqa_train_0017,21,0.8082424180869462,0.6771929824561403,1429,285
chartqa_train_0017,22,0.7901145747794174,0.6807017543859649,1429,285
chartqa_train_0017,23,0.775620579236405,0.6947368421052632,1429,285
chartqa_train_0017,24,0.8053186796494148,0.6947368421052632,1429,285
chartqa_train_0017,25,0.7379179705474143,0.6385964912280702,1429,285
chartqa_train_0017,26,0.8015798550267779,0.7087719298245614,1429,285
chartqa_train_0017,27,0.5745748954616278,0.6035087719298246,1429,285
chartqa_train_0021,0,0.5647519082322979,0.4281842818428184,1849,369
chartqa_train_0021,1,0.5883660442663705,0.48509485094850946,1849,369
chartqa_train_0021,2,0.6503363581899486,0.5718157181571816,1849,369
chartqa_train_0021,3,0.4505589988725128,0.5121951219512195,1849,369
chartqa_train_0021,4,0.6837105081270278,0.5636856368563685,1849,369
chartqa_train_0021,5,0.7425419792373312,0.6829268292682927,1849,369
chartqa_train_0021,6,0.6359519760695814,0.5962059620596206,1849,369
chartqa_train_0021,7,0.7014406652258524,0.6368563685636857,1849,369
chartqa_train_0021,8,0.66888102871763,0.5528455284552846,1849,369
chartqa_train_0021,9,0.7852249931715182,0.6449864498644986,1849,369
chartqa_train_0021,10,0.7158121552683189,0.6368563685636857,1849,369
chartqa_train_0021,11,0.709280814092019,0.6070460704607046,1849,369
chartqa_train_0021,12,0.7421013700492678,0.6205962059620597,1849,369
chartqa_train_0021,13,0.6876238235657621,0.5365853658536586,1849,369
chartqa_train_0021,14,0.7441582691908716,0.6178861788617886,1849,369
chartqa_train_0021,15,0.6725688246373422,0.5772357723577236,1849,369
