sample_id,layer,entropy,n_img
chartqa_train_0012,9,0.8375316262245178,1429
chartqa_train_0012,10,0.8913347125053406,1429
chartqa_train_0012,11,0.8636482954025269,1429
chartqa_train_0012,12,0.8696067333221436,1429
chartqa_train_0012,13,0.8461846113204956,1429
chartqa_train_0012,14,0.8670412302017212,1429
chartqa_train_0012,15,0.9012550711631775,1429
chartqa_train_0012,16,0.864048957824707,1429
chartqa_train_0012,17,0.8962926268577576,1429
chartqa_train_0012,18,0.8469471335411072,1429
chartqa_train_0012,19,0.7907536029815674,1429
chartqa_train_0012,20,0.8835621476173401,1429
chartqa_train_0012,21,0.8754915595054626,1429
chartqa_train_0012,22,0.8900248408317566,1429
chartqa_train_0012,23,0.875809907913208,1429
chartqa_train_0012,24,0.8881856203079224,1429
chartqa_train_0012,25,0.8862702250480652,1429
chartqa_train_0012,26,0.869673490524292,1429
chartqa_train_0012,27,0.86996990442276,1429
chartqa_train_0014,0,0.9137247800827026,1429
chartqa_train_0014,1,0.9256120920181274,1429
chartqa_train_0014,2,0.9286193251609802,1429
chartqa_train_0014,3,0.9403623938560486,1429
chartqa_train_0014,4,0.9007559418678284,1429
chartqa_train_0014,5,0.9328630566596985,1429
chartqa_train_0014,6,0.8966909050941467,1429
chartqa_train_0014,7,0.8934265375137329,1429
chartqa_train_0014,8,0.8824781179428101,1429
chartqa_train_0014,9,0.8045761585235596,1429
chartqa_train_0014,10,0.9155252575874329,1429
chartqa_train_0014,11,0.8758429288864136,1429
chartqa_train_0014,12,0.8891191482543945,1429
chartqa_train_0014,13,0.8942294716835022,1429
chartqa_train_0014,14,0.9123392105102539,1429
chartqa_train_0014,15,0.9246184825897217,1429
chartqa_train_0014,16,0.8817405104637146,1429
chartqa_train_0014,17,0.9168416857719421,1429
chartqa_train_0014,18,0.9134510159492493,1429
chartqa_train_0014,19,0.8775311708450317,1429
chartqa_train_0014,20,0.9200743436813354,1429
chartqa_train_0014,21,0.9135514497756958,1429
chartqa_train_0014,22,0.8827049732208252,1429
chartqa_train_0014,23,0.898051381111145,1429
chartqa_train_0014,24,0.8806321620941162,1429
chartqa_train_0014,25,0.8928003311157227,1429
chartqa_train_0014,26,0.8557765483856201,1429
chartqa_train_0014,27,,1429
chartqa_train_0015,0,0.9118425250053406,1429
chartqa_train_0015,1,0.9071409106254578,1429
chartqa_train_0015,2,0.9351106882095337,1429
chartqa_train_0015,3,0.9362058043479919,1429
chartqa_train_0015,4,0.8379195332527161,1429
chartqa_train_0015,5,0.8962702751159668,1429
chartqa_train_0015,6,0.9355261325836182,1429
chartqa_train_0015,7,0.912032425403595,1429
chartqa_train_0015,8,0.7820520997047424,1429
